time,Storage_Index
1,313_STORAGE_1
1,303_STORAGE_1
2,313_STORAGE_1
2,303_STORAGE_1
3,313_STORAGE_1
3,303_STORAGE_1
4,313_STORAGE_1
4,303_STORAGE_1
5,313_STORAGE_1
5,303_STORAGE_1
6,313_STORAGE_1
6,303_STORAGE_1
7,313_STORAGE_1
7,303_STORAGE_1
8,313_STORAGE_1
8,303_STORAGE_1
9,313_STORAGE_1
9,303_STORAGE_1
10,313_STORAGE_1
10,303_STORAGE_1
11,313_STORAGE_1
11,303_STORAGE_1
12,313_STORAGE_1
12,303_STORAGE_1
13,313_STORAGE_1
13,303_STORAGE_1
14,313_STORAGE_1
14,303_STORAGE_1
15,313_STORAGE_1
15,303_STORAGE_1
16,313_STORAGE_1
16,303_STORAGE_1
17,313_STORAGE_1
17,303_STORAGE_1
18,313_STORAGE_1
18,303_STORAGE_1
19,313_STORAGE_1
19,303_STORAGE_1
20,313_STORAGE_1
20,303_STORAGE_1
21,313_STORAGE_1
21,303_STORAGE_1
22,313_STORAGE_1
22,303_STORAGE_1
23,313_STORAGE_1
23,303_STORAGE_1
24,313_STORAGE_1
24,303_STORAGE_1
